Genre,Year,NA_Sales,EU_Sales,JP_Sales,Global_Sales
Action,2009,6.36,4.2,5.04,17.01
Fighting,2001,4.41,1.04,1.39,7.07
Fighting,2008,6.75,2.61,2.66,13.04
Misc,2005,6.42,12.04,5.76,26.89
Misc,2006,14.03,9.2,2.93,29.02
Misc,2007,8.27,4.18,3.56,17.439999999999998
Misc,2010,1.79,3.53,2.49,8.49
Platform,2004,5.08,3.11,1.25,10.42
Platform,2006,11.38,9.23,6.5,30.01
Platform,2007,6.16,3.4,1.2,11.52
Platform,2009,14.59,7.06,4.7,28.62
Platform,2010,3.25,1.84,1.03,6.59
Puzzle,2005,3.44,5.36,5.32,15.3
Puzzle,2007,1.22,2.48,1.03,5.26
Racing,2001,6.85,5.09,1.87,14.98
Racing,2005,9.81,7.57,4.13,23.42
Role-Playing,2000,2.55,1.56,1.29,6.39
Role-Playing,2001,2.91,2.07,2.73,8.05
Role-Playing,2002,9.7,5.1,6.87,22.25
Role-Playing,2003,1.92,1.08,2.11,5.29
Role-Playing,2004,6.91,4.23,5.21,16.9
Role-Playing,2006,6.42,4.52,6.04,18.36
Role-Playing,2007,1.85,1.2,1.54,4.96
Role-Playing,2008,2.82,1.78,2.69,7.84
Role-Playing,2009,1.74,1.24,1.87,5.36
Role-Playing,2010,5.57,3.28,5.65,15.32
Simulation,2005,11.620000000000001,14.52,7.26,37.03
Simulation,2008,1.87,1.12,1.32,4.68
Sports,2007,8.94,8.03,3.6,22.72
Sports,2009,24.84,19.6,5.81,55.0
